order_id,order_date,region,customer_type,category,payment_method,units_sold,revenue,cost,profit,marketing_spend,customer_satisfaction,delivery_days,returns
ORD-10235,2026-08-23,North,Returning,Monitor,Net Banking,10,2405.04,1564.78,840.26,117.75,4.72,3.9,3
ORD-10236,2026-08-24,East,New,Tablet,Debit Card,6,2326.59,1442.8,883.79,299.93,4.77,6.9,0
ORD-10237,2026-08-25,South,New,Laptop,Credit Card,3,2361.95,1760.42,601.53,366.98,4.42,2.0,1
ORD-10238,2026-08-26,North,New,Phone,Credit Card,3,1768.35,1209.35,559.0,473.95,3.26,1.6,0
ORD-10239,2026-08-27,East,Returning,Tablet,UPI,9,3237.59,1851.52,1386.07,667.85,5.0,6.6,0
ORD-10240,2026-08-28,North,New,Tablet,Credit Card,7,2600.01,1584.57,1015.43,440.42,3.25,3.9,0
ORD-10241,2026-08-29,West,New,Phone,Credit Card,5,3063.42,2250.02,813.4,533.34,4.2,3.1,1
ORD-10242,2026-08-30,West,Enterprise,Monitor,Net Banking,12,3053.97,1742.46,1311.51,379.07,3.51,5.9,3
ORD-10243,2026-08-31,West,New,Phone,Debit Card,10,5859.73,4569.57,1290.16,,3.96,3.2,0
ORD-10244,2026-09-01,South,Enterprise,Laptop,UPI,7,5525.17,3777.5,1747.67,96.11,4.21,7.1,1
ORD-10245,2026-09-02,North,Returning,Phone,Net Banking,9,4369.94,2970.5,1399.44,215.35,4.21,5.3,0
ORD-10246,2026-09-03,West,Returning,Phone,Credit Card,1,511.64,363.24,148.4,285.2,4.27,3.4,0
ORD-10247,2026-09-04,South,New,Monitor,Credit Card,7,2133.16,1648.22,484.94,357.12,5.0,7.7,0
ORD-10248,2026-09-05,West,New,Laptop,UPI,6,5775.14,3718.66,2056.48,79.67,4.29,3.2,2
ORD-10249,2026-09-06,West,Returning,Tablet,Debit Card,10,4720.68,3460.57,1260.12,141.02,3.84,5.4,1
ORD-10250,2026-09-07,West,Returning,Tablet,UPI,14,5768.69,4053.94,1714.76,229.93,4.63,4.7,1
ORD-10021,2026-01-21,East,New,Accessory,UPI,8,530.15,370.6,159.55,350.49,3.12,3.1,1
ORD-10076,2026-03-17,East,New,Accessory,Debit Card,1,81.84,55.53,26.31,181.31,4.86,3.1,0
ORD-10151,2026-05-31,West,New,Laptop,Credit Card,11,8003.38,6316.38,1687.0,616.28,3.2,1.3,0
